"selfingrate"	"delta"	"cost"	"mu"	"sigma"	"gen"	"popsize"	"nsampled"	"seed"	"generation"	"param"	"Individual"	"Param_value"
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"slope"	"Ind6"	-0.00851863
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"slope"	"Ind7"	0.0178027
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"slope"	"Ind8"	0.0158514
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"slope"	"Ind9"	0.0051881
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"slope"	"Ind10"	0.0557842
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"slope"	"Ind11"	-0.0121408
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"slope"	"Ind12"	-0.0224376
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"slope"	"Ind13"	0.0355025
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"slope"	"Ind14"	0.0199795
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"slope"	"Ind15"	0.0226012
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"slope"	"Ind16"	-0.0100093
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"slope"	"Ind17"	0.0597192
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"slope"	"Ind18"	0.0330391
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"slope"	"Ind19"	0.0258546
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"slope"	"Ind20"	-0.0034082
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"intercept"	"Ind1"	0.474434
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"intercept"	"Ind2"	0.490093
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"intercept"	"Ind3"	0.523449
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"intercept"	"Ind4"	0.551265
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"intercept"	"Ind5"	0.470164
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"intercept"	"Ind6"	0.504492
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"intercept"	"Ind7"	0.605218
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"intercept"	"Ind8"	0.447789
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"intercept"	"Ind9"	0.521951
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"intercept"	"Ind10"	0.398367
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"intercept"	"Ind11"	0.463962
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"intercept"	"Ind12"	0.577848
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"intercept"	"Ind13"	0.420864
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"intercept"	"Ind14"	0.427712
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"intercept"	"Ind15"	0.458445
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"intercept"	"Ind16"	0.549447
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"intercept"	"Ind17"	0.371886
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"intercept"	"Ind18"	0.446945
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"intercept"	"Ind19"	0.442919
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	15000	"intercept"	"Ind20"	0.455037
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	20000	"slope"	"Ind1"	0.0224788
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	20000	"slope"	"Ind2"	0.0837995
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	20000	"slope"	"Ind3"	0.042706
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	20000	"slope"	"Ind4"	-0.0146568
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	20000	"slope"	"Ind5"	0.0837995
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	20000	"slope"	"Ind6"	0.07978
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	20000	"slope"	"Ind7"	-0.0101606
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	20000	"slope"	"Ind8"	0.0360502
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	20000	"slope"	"Ind9"	-0.0500338
"0.0"	"0.2"	"0.01"	"0.005"	"0.01"	"100000"	"10000"	"200"	"4081274497320169913"	20000	"slope"	"Ind10"	0.0137977
